12	C++ developer
13	Soft skills
16	Ability to learn
73	Ask the right questions
76	Process information
74	Experimenting
75	Manage knowledge
17	Manage mistakes
72	Analyze mistakes
71	Admitting your mistakes
70	Notify about mistakes in time
69	Accept criticism
18	Thinking
64	Logical
68	Systems
65	Critical
66	Creative
67	Strategic
19	Responsibility
59	Discipline
60	Persistence
61	Initiative
62	Independence
63	Problem solving
20	Manage resources
54	Time management
55	Prioritization
56	Taking decisions
57	Blind typing
58	Multitasking
21	Communication
43	Negotiation
48	Ability to listen
49	Persuasion
50	Ability to communicate ideas and thoughts within the team
53	Providing information to people outside the team
51	Finding compromises
52	Dispute resolution
44	English
45	Presentation
46	Written communication skill
47	Networking
22	Team work
34	Understanding the distribution of roles in a team
35	Support team members
36	Work in a distributed team
37	Providing feedback
38	Leadership
41	Assigning and clarifying tasks to employees
42	Planning and goal setting
39	Mentoring
40	Delegation
23	Emotional intelligence
32	Stress resistance
33	Working in uncertainty
31	Adaptability
30	Open-mindedness
29	Concentration
28	Empathy
24	Understanding the development context
25	Customer focus
26	Technology
27	Trends
14	Hard skills
396	Language syntax
89	Basic operations
90	Arithmetic operations
92	Logical operations
91	Loops: for/while
93	Bitwise operations
94	Functions
96	Operators
95	lambda
97	Data types
99	Static typing
98	Dynamic typing
100	RTTI
101	Pointers & References
103	References
105	Smart pointer
111	unique_ptr
112	shared_ptr
115	weak_ptr
104	Memory model
113	Lifetime of objects
106	Raw pointers
114	new/delete operators
109	Memory leakage
102	Codebase structuring
107	Code splitting into headers/cpp files
110	Forward declaration
108	Scope
116	Namespaces
119	Structures and classes
123	Object Oriented programming (OOP)
129	Static polymorphism
121	Overloading of functions
126	Dynamic polymorphism
127	Virtual methods
122	Virtual table (vtbl)
128	The rule of zero/three/five
130	Multiple inheritance
131	Diamond inheritance
120	Exception handling
n936	std::optional / std::expected
124	Exceptions
125	Access violation
n937	noexcept
132	Error codes
n938	std::error_code
135	Language concepts
134	auto (automatic type deduction)
136	type casting
137	static_cast
138	const_cast
139	dynamic_cast
140	reinterpret_cast
141	Undefined Behavior (UB)
142	Argument-dependent lookup (ADL)
n1000	constexpr / consteval
143	Macros
144	Name mangling
n920	Move semantics
