cpp-developer	C++ developer
soft-skills	Soft skills
ability-to-learn	Ability to learn
ask-the-right-questions	Ask the right questions
process-information	Process information
experimenting	Experimenting
manage-knowledge	Manage knowledge
manage-mistakes	Manage mistakes
analyze-mistakes	Analyze mistakes
admitting-your-mistakes	Admitting your mistakes
notify-about-mistakes-in	Notify about mistakes in time
accept-criticism	Accept criticism
thinking	Thinking
logical	Logical
systems	Systems
critical	Critical
creative	Creative
strategic	Strategic
responsibility	Responsibility
discipline	Discipline
persistence	Persistence
initiative	Initiative
independence	Independence
problem-solving	Problem solving
manage-resources	Manage resources
time-management	Time management
prioritization	Prioritization
taking-decisions	Taking decisions
blind-typing	Blind typing
multitasking	Multitasking
communication	Communication
negotiation	Negotiation
ability-to-listen	Ability to listen
persuasion	Persuasion
ability-to-communicate-ideas	Ability to communicate ideas and thoughts within the team
providing-information-to-people	Providing information to people outside the team
finding-compromises	Finding compromises
dispute-resolution	Dispute resolution
english	English
presentation	Presentation
written-communication-skill	Written communication skill
networking	Networking
team-work	Team work
understanding-the-distribution-of	Understanding the distribution of roles in a team
support-team-members	Support team members
work-in-a-distributed	Work in a distributed team
providing-feedback	Providing feedback
leadership	Leadership
assigning-and-clarifying-tasks	Assigning and clarifying tasks to employees
planning-and-goal-setting	Planning and goal setting
mentoring	Mentoring
delegation	Delegation
emotional-intelligence	Emotional intelligence
stress-resistance	Stress resistance
working-in-uncertainty	Working in uncertainty
adaptability	Adaptability
open-mindedness	Open-mindedness
concentration	Concentration
empathy	Empathy
understanding-the-development-context	Understanding the development context
customer-focus	Customer focus
technology	Technology
trends	Trends
hard-skills	Hard skills
language-syntax	Language syntax
basic-operations	Basic operations
arithmetic-operations	Arithmetic operations
logical-operations	Logical operations
loops-for-while	Loops: for/while
bitwise-operations	Bitwise operations
functions	Functions
operators	Operators
lambda	lambda
data-types	Data types
static-typing	Static typing
dynamic-typing	Dynamic typing
rtti	RTTI
pointers-and-references	Pointers & References
references	References
smart-pointer	Smart pointer
unique-ptr	unique_ptr
shared-ptr	shared_ptr
weak-ptr	weak_ptr
memory-model	Memory model
lifetime-of-objects	Lifetime of objects
raw-pointers	Raw pointers
new-delete-operators	new/delete operators
memory-leakage	Memory leakage
codebase-structuring	Codebase structuring
code-splitting-into-headers	Code splitting into headers/cpp files
forward-declaration	Forward declaration
scope	Scope
namespaces	Namespaces
structures-and-classes	Structures and classes
object-oriented-programming	Object Oriented programming (OOP)
static-polymorphism	Static polymorphism
overloading-of-functions	Overloading of functions
dynamic-polymorphism	Dynamic polymorphism
virtual-methods	Virtual methods
virtual-table	Virtual table (vtbl)
