cpp-developer	C++ developer
soft-skills	Soft skills
ability-to-learn	Умение учиться
ask-the-right-questions	Умение задавать правильные вопросы
process-information	Работа с информацией
experimenting	Экспериментирование
manage-knowledge	Управление знаниями
manage-mistakes	Работа с ошибками
analyze-mistakes	Анализ ошибок
admitting-your-mistakes	Признание своих ошибок
notify-about-mistakes-in	Своевременное сигнализирование об ошибках
accept-criticism	Восприятие критики
thinking	Мышление
logical	Логическое
systems	Системное
critical	Критическое
creative	Креативное
strategic	Стратегическое
responsibility	Ответственность
discipline	Дисциплина
persistence	Упорство
initiative	Инициативность
independence	Самостоятельность
problem-solving	Решение проблем
manage-resources	Управление ресурсами
time-management	Тайм-менеджмент
prioritization	Приоритизация
taking-decisions	Принятие решений
blind-typing	Слепая печать
multitasking	Многозадачность
communication	Коммуникация
negotiation	Переговорные навыки
ability-to-listen	Умение слушать
persuasion	Убеждение
ability-to-communicate-ideas	Умение доносить мысль/идеи внутри команды
providing-information-to-people	Подача информации людям вне команды
finding-compromises	Поиск компромиссов
dispute-resolution	Регулирование споров
english	Английский язык
presentation	Презентация
written-communication-skill	Навык переписки
networking	Нетворкинг
team-work	Командная работа
understanding-the-distribution-of	Понимание распределения ролей в команде
support-team-members	Помощь
work-in-a-distributed	Работа в распределённой команде
providing-feedback	Предоставление обратной связи
leadership	Лидерство
assigning-and-clarifying-tasks	Постановка задач сотрудникам
planning-and-goal-setting	Планирование и целеполагание
mentoring	Наставничество
delegation	Делегирование
emotional-intelligence	Эмоциональный интеллект
stress-resistance	Стрессоустойчивость
working-in-uncertainty	Работа в неопределённости
adaptability	Адаптируемость
open-mindedness	Открытость новому
concentration	Концентрация
empathy	Эмпатия
understanding-the-development-context	Понимание контекста разработки
customer-focus	Клиентоориентированность
technology	Технологии
trends	Тренды
hard-skills	Hard skills
language-syntax	Синтаксис языка
basic-operations	Базовые операции
arithmetic-operations	Арифметические операции
logical-operations	Логические операции
loops-for-while	Циклы for/while
bitwise-operations	Битовые операции
functions	Функции
operators	Операторы
lambda	lambda
data-types	Типы данных
static-typing	Статическая типизация
dynamic-typing	Динамическая типизация
rtti	RTTI
pointers-and-references	Указатели и ссылки
references	Ссылки
smart-pointer	Умные указатели
unique-ptr	unique_ptr
shared-ptr	shared_ptr
weak-ptr	weak_ptr
memory-model	Модель памяти
lifetime-of-objects	Время жизни
raw-pointers	Сырые Указатели
new-delete-operators	Операторы new/delete
memory-leakage	Утечки памяти
codebase-structuring	Организация кодовой базы
code-splitting-into-headers	Разделение кода на headers/cpp юниты
forward-declaration	Forward declaration
scope	Область видимости
namespaces	Пространство имён
structures-and-classes	Структуры и классы
object-oriented-programming	ООП
static-polymorphism	Статический полиморфизм
overloading-of-functions	Перегрузка методов
dynamic-polymorphism	Динамический полиморфизм
virtual-methods	Виртуальные методы
virtual-table	Таблица виртуальных методов
the-rule-of-zero	Правило нуля/трех/пяти
multiple-inheritance	Множественное наследование
diamond-inheritance	Ромбовидное наследование
exception-handling	Обработка ошибок
std-optional-std-expected	std::optional / std::expected
exceptions	Исключения
access-violation	Access violation
noexcept	noexcept
error-codes	Коды возврата
std-error-code	std::error_code
language-concepts	Концепции языка
auto	auto (автоматическое выведение типов)
type-casting	type casting
static-cast	static_cast
const-cast	const_cast
dynamic-cast	dynamic_cast
reinterpret-cast	reinterpret_cast
undefined-behavior	Неопределённое поведение (Undefined Behavior)
argument-dependent-lookup	Поиск, зависящий от аргумента (ADL)
constexpr-consteval	constexpr / consteval
macros	Макросы
name-mangling	Name mangling
move-semantics	Move-семантика
value-categories	Категории значений (lvalue/rvalue)
std-move-std-forward	std::move / std::forward
perfect-forwarding	Perfect forwarding
coroutines	Coroutines (C++20)
modules	Modules (C++20)
standard-library-stl	Стандартная библиотека + STL
iostream	Поток ввода/вывода
std-format-std-print	std::format / std::print
date-time	Дата/время
containers	Контейнеры
std-span-std-string	std::span / std::string_view
iterators	Итераторы
algorithms	Алгоритмы стандартной библиотеки
std-ranges	std::ranges
multithreading	Многопоточность
templates	Шаблоны
variadic-templates	Variadic templates
the-template-specialization	Специализация шаблона
the-full-template-specialization	Полная специализация
the-partial-template-specialization	Частичная специализация
type-traits	type traits
sfinae	SFINAE
concepts	Concepts (C++20)
idioms	Идиомы
raii	RAII
pimpl	pimpl
non-copyable-non-moveable	Non-Copyable/Non-Moveable
erase-remove	Erase-Remove
copy-and-swap	Copy and swap
copy-on-write	Copy on write
crtp	CRTP
standards	Стандарты
cpp11-14	C++11/14
cpp17	C++17
cpp20	C++20
cpp23	C++23
cpp26	C++26 (newest)
language-tools	Языковые инструменты
working-with-source-code	Работа с исходным кодом
text-editors	Текстовый редактор
ide	IDE
code-editors	Редакторы исходного кода
knowledge-of-features-and	Знание о базовых возможностях (shortcuts, tools, plugins)
debugger	Отладчик
understanding-of-debugger-messages	Умение читать сообщения отладчика
debugging-symbols	Отладочные символы
windbg	WinDbg
gdb	GDB
lldb	LLDB
linters	Линтеры
compiler-explorer	Compiler Explorer (godbolt.org)
compilers	Компиляторы
basic-understanding-of-compilers	Базовые знания работы компиляторов
compilation-of-sources-to	Компиляция кода в объектные файлы
the-object-files-linkage	Компоновка объектных файлов в приложение (линковка)
working-stages-of-compilers	Этапы работы компилятора
features-of-a-particular	Особенности работы конкретного компилятора
build-systems	Системы сборки
cmake	CMake
makefile	Makefile
ninja	ninja
package-managers	Пакетные менеджеры
conan	Conan
nuget	nuget
vcpkg	vcpkg
spack	spack
working-with-libraries	Взаимодействие с библиотеками
libraries-inclusion	Подключение библиотек
licensing	Лицензирование
libraries	Популярные библиотеки
boost	boost
opencv	opencv
poco	poco
protobuf	protobuf
asio	Asio
grpc	gRPC
fmt	fmt
nlohmann-json	nlohmann/json
pybind11	pybind11
spdlog	spdlog
range-v3	range-v3
tensorflow	tensorflow
opencl	opencl
frameworks	Фреймворки
gtest-gmock	gtest/gmock
qt	Qt
catch2	catch2
google-benchmark	google benchmark
google-profiler	google profiler
pytorch-cpp	pytorch c++
common-skills	Общие навыки
computers-science	Информатика
data-structures	Структуры данных
boolean-algebra	Булева алгебра
computers-science-algorithms	Алгоритмы
finite-state-machines	Конечные автоматы
version-control-software	Системы контроля версий
distributed	Распределенные
git	git
mercurial	Mercurial
centralized	Централизованные
svn	SVN
best-practices	Практики разработки
code-quality	Качество кода
code-guidelines	Правила оформления кода
principles-of-development	Принципы разработки
kiss	KISS (Keep It Simple, Stupid)
dry	DRY (Don't Repeat Yourself)
yagni	YAGNI (You Aren't Gonna Need It)
apo	APO (Avoid Premature Optimization)
bduf	BDUF (Big Design Up Front)
composition-is-preferably-than	Композиция предпочтительнее наследования
occam-s-razor	Бритва Оккама
divide-and-conquer	Разделяй и властвуй
logging-and-telemetry	Логирование и телеметрия
code-review	Ревью кода
skill-to-read-existing	Умение читать чужой код
skill-to-review-code	Ревью чужого кода
lifecycle-stages-of-a	Понимание жизненного цикла производства ПО
implementation	Реализация
testing	Тестирование
unit-tests	Юнит тесты
integration-tests	Интеграционное
functional-tests	Функциональное
performance-tests	Производительность
maintanance	Поддержка
versioning	Версионирование ПО
backward-compatibility	Обратная совместимость
software-architecture-and-components	Формирование архитектуры и дизайн компонентов
components-integration	Интеграция компонентов
deployment	Выпуск
collecting-requirements	Сбор требований
end-of-a-software	Окончание жизненного цикла
code-analyzers	Анализаторы кода
static-analyzers	Статические
dynamic-analyzers	Динамические
profilers	Профайлеры
valgrind	Valgrind
perf-vtune	perf / VTune
cpp-core-guidelines	C++ core guidelines
microsoft-gsl	Microsoft GSL
industrial-standards	Промышленные стандарты
misra-cpp-2023	MISRA C++:2023
autosar	Autosar
eu-cyber-resilience-act	EU Cyber Resilience Act (CRA)
sbom	SBOM
iec-62304	IEC 62304 (медицина)
iso-26262	ISO 26262 (автомобили)
do-178c	DO-178C (авиация)
command-line	Работа с командной строкой
powershell	Powershell
batch	batch
bash	bash
ci-cd	CI/CD
creation-of-a-software	Создание пакета поставки ПО
documentation	Документация
installer-package	Инсталлятор
trunk-based-development	Trunk Based Development
zero-downtime-deployment	Zero downtime deployment
ai-tools	AI-инструменты
ai-assistants	AI-ассистенты (Copilot, Claude Code, Cursor)
verifying-generated-code	Верификация сгенерированного кода
company-policy-and-confidentiality	Политика компании и конфиденциальность
licensing-risks-of-generated	Лицензионные риски генерируемого кода
local-models	Локальные модели
usage-of-other-programming	Использование других языков программирования
language-interoperability	Межязыковое взаимодействие
software-design	Проектирование ПО
